City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,abepura,-2.6333,140.5833,32.45,58,20,1.54,ID,1713492651
1,katsuren-haebaru,26.3369,127.8719,25.05,60,20,5.66,JP,1713492653
2,utrik,11.2278,169.8474,26.96,84,8,10.32,MH,1713492654
3,wailua homesteads,22.0669,-159.378,23.24,85,100,7.72,US,1713492655
4,grytviken,-54.2811,-36.5092,4.24,98,100,0.74,GS,1713492656
5,longyearbyen,78.2186,15.6401,-1.09,59,75,7.2,SJ,1713492607
6,west island,-12.1568,96.8225,28.99,70,40,5.14,CC,1713492658
7,lisala,2.15,21.5167,21.69,98,100,1.39,CD,1713492659
8,waitangi,-43.9535,-176.5597,17.12,84,100,2.24,NZ,1713492518
9,ta`u,-14.2336,-169.5144,29.22,76,15,6.22,AS,1713492662
10,sandnessjoen,66.0217,12.6316,-3.71,67,0,8.43,NO,1713492663
11,guerrero negro,27.9769,-114.0611,16.77,79,98,7.9,MX,1713492664
12,yellowknife,62.456,-114.3525,-0.33,67,17,0.89,CA,1713492665
13,porto novo,6.4965,2.6036,28.15,85,78,3.47,BJ,1713492666
14,edinburgh of the seven seas,-37.0676,-12.3116,13.92,65,90,12.22,SH,1713492667
15,orcopampa,-15.2661,-72.3417,9.26,67,100,0.7,PE,1713492668
16,san antonio de pale,-1.4014,5.6325,28.38,83,79,3.73,GQ,1713492671
17,markovo,57.3206,107.0881,3.72,68,99,2.0,RU,1713492672
18,port mathurin,-19.6833,63.4167,25.9,65,92,8.99,MU,1713492673
19,adamstown,-25.066,-130.1015,22.65,74,6,12.31,PN,1713492674
20,hermanus,-34.4187,19.2345,15.45,90,100,3.57,ZA,1713492675
21,isafjordur,66.0755,-23.124,-6.52,83,43,1.97,IS,1713492676
22,iqaluit,63.7506,-68.5145,-13.81,92,27,4.58,CA,1713492678
23,chonchi,-42.6128,-73.8092,10.62,84,100,6.11,CL,1713492679
24,cascais,38.6979,-9.4215,16.63,90,94,6.26,PT,1713492680
25,chos malal,-37.3781,-70.2709,17.7,32,5,5.25,AR,1713492681
26,ribeira grande,38.5167,-28.7,16.54,93,13,4.47,PT,1713492682
27,saipan,15.1355,145.701,31.39,66,40,5.14,MP,1713492683
28,bikenibeu village,1.3673,173.1241,30.98,74,75,4.12,KI,1713492684
29,stanley,54.868,-1.6985,8.21,82,0,5.66,GB,1713492686
30,khabary,53.6259,79.5345,12.37,83,100,6.22,RU,1713492687
31,taulaga,-11.0553,-171.0883,29.65,75,19,6.28,AS,1713492688
32,hamilton,39.1834,-84.5333,20.43,61,0,0.0,US,1713492689
33,shelton,41.3165,-73.0932,8.05,83,100,3.6,US,1713492604
34,scottburgh,-30.2867,30.7532,20.35,79,17,2.48,ZA,1713492692
35,reggane,26.7158,0.1714,27.05,13,0,3.27,DZ,1713492694
36,puerto natales,-51.7236,-72.4875,6.76,83,100,2.73,CL,1713492695
37,arkhangel'sk,64.5401,40.5433,-8.82,79,100,3.0,RU,1713492697
38,vernon,50.2581,-119.2691,12.47,32,61,2.24,CA,1713492698
39,hasaki,35.7333,140.8333,20.22,48,100,9.12,JP,1713492699
40,jamestown,42.097,-79.2353,10.01,89,0,1.54,US,1713492700
41,lebu,-37.6167,-73.65,13.4,86,100,1.42,CL,1713492701
42,kununurra,-15.7667,128.7333,29.99,35,100,7.2,AU,1713492703
43,bardai,11.65,7.2333,26.79,17,100,0.83,NG,1713492704
44,karratha,-20.7377,116.8463,29.2,24,2,11.01,AU,1713492705
45,alofi,-19.0595,-169.9187,28.94,74,75,6.17,NU,1713492706
46,hawaiian paradise park,19.5933,-154.9731,25.57,77,100,4.12,US,1713492707
47,arraial do cabo,-22.9661,-42.0278,23.88,72,100,7.91,BR,1713492709
48,sonqor,34.7837,47.6004,9.09,59,0,0.68,IR,1713492710
49,minas de marcona,-15.2119,-75.1103,16.26,79,33,3.31,PE,1713492711
50,east london,-33.0153,27.9116,19.59,86,18,2.35,ZA,1713492712
51,sergeyevka,53.88,67.4158,14.05,85,36,1.39,KZ,1713492714
52,cadale,2.7603,46.3222,26.21,83,100,7.52,SO,1713492715
53,aral,40.5156,81.2636,16.65,64,17,6.65,CN,1713492716
54,balakovo,52.0278,47.8007,18.88,39,100,6.52,RU,1713492717
55,bridgewater,44.3835,-64.5155,2.57,85,10,1.28,CA,1713492719
56,blackmans bay,-43.0167,147.3167,14.85,62,71,0.89,AU,1713492720
57,bethel,41.3712,-73.414,7.33,84,0,1.54,US,1713492721
58,port-aux-francais,-49.35,70.2167,4.11,91,90,16.84,TF,1713492723
59,saint-philippe,-21.3585,55.7679,21.77,86,82,5.89,RE,1713492724
60,broome,42.2506,-75.833,9.94,89,100,3.6,US,1713492725
61,pak phanang,8.3511,100.202,30.06,66,69,0.94,TH,1713492726
62,djougou,9.7085,1.666,26.94,34,86,2.81,BJ,1713492727
63,sidney,-33.8679,151.2073,20.76,60,75,3.09,AU,1713492660
64,sihanoukville,10.6093,103.5296,30.97,70,20,3.6,KH,1713492730
65,dudinka,69.4058,86.1778,-1.29,97,100,5.36,RU,1713492731
66,yanta,36.2411,115.6672,20.39,43,100,4.11,CN,1713492732
67,carnarvon,-24.8667,113.6333,28.0,28,0,7.45,AU,1713492733
68,eureka,40.8021,-124.1637,14.55,76,100,0.89,US,1713492634
69,labrador city,52.9463,-66.9114,-0.46,58,88,21.46,CA,1713492737
70,margaret river,-33.95,115.0667,23.71,36,1,5.71,AU,1713492494
71,lagoa,39.05,-27.9833,15.63,92,22,7.67,PT,1713492740
72,kruisfontein,-34.0033,24.7314,13.82,89,18,1.33,ZA,1713492741
